condition_name_raw,condition_name_normalized
Acute Respiratory Distress Syndrome ARDS,Acute Respiratory Distress Syndrome (ARDS)
Acute ST Segment Elevation Myocardial Infarction,Acute ST Segment Elevation Myocardial Infarction
Acute ST SEgment Elevation Myocardial Infarction,Acute ST Segment Elevation Myocardial Infarction
Acute Sinusitis,Acute Sinusitis
ACUTE SINUSITIS,Acute Sinusitis
Acute Spinal Cord Injury,Acute Spinal Cord Injury
Acute Spinal Cord Injury.,Acute Spinal Cord Injury
"Acute, Post-operative Pain","Acute, Post-operative Pain"
Acute Post-operative Pain,"Acute, Post-operative Pain"
Acute Postoperative Pain,"Acute, Post-operative Pain"
Adenocarcinoma Clear Cell,Adenocarcinoma Clear Cell
"Adenocarcinoma, Clear Cell",Adenocarcinoma Clear Cell
Adenocarcinoma Gastroesophageal Junction,Adenocarcinoma Gastroesophageal Junction
"Adenocarcinoma, Gastroesophageal Junction",Adenocarcinoma Gastroesophageal Junction
Adenocarcinoma Pancreas,Adenocarcinoma Pancreas
"Adenocarcinoma, Pancreas",Adenocarcinoma Pancreas
Adenocarcinoma of Esophagogastric Junction,Adenocarcinoma of Esophagogastric Junction
Adenocarcinoma of Esophagogastric Junction.,Adenocarcinoma of Esophagogastric Junction
Adenocarcinoma of the Esophago-gastric Junction,Adenocarcinoma of the Esophago-gastric Junction
Adenocarcinoma of the Esophagogastric Junction,Adenocarcinoma of the Esophago-gastric Junction
Adenovirus.,Adenovirus.
Adenovirus,Adenovirus.
Adjuvant Therapy in Patients With Hepatocellular Carcinoma (HCC) at High Risk of Recurrence After Curative Resection or Ablation,Adjuvant Therapy in Patients With Hepatocellular Carcinoma (HCC) at High Risk of Recurrence After Curative Resection or Ablation
Adjuvant Therapy in Patients with Hepatocellular Carcinoma (HCC) At High Risk of Recurrence After Curative Resection or Ablation,Adjuvant Therapy in Patients With Hepatocellular Carcinoma (HCC) at High Risk of Recurrence After Curative Resection or Ablation
Adrenal Hyperplasia Congenital,Adrenal Hyperplasia Congenital
"Adrenal Hyperplasia, Congenital",Adrenal Hyperplasia Congenital
Adult Acute Myeloid Leukemia With T(8;21)(q22;q22),Adult Acute Myeloid Leukemia With T(8;21)(q22;q22)
Adult Acute Myeloid Leukemia With t(8;21)(q22;q22),Adult Acute Myeloid Leukemia With T(8;21)(q22;q22)
Adult Acute Myeloid Leukemia With t(16;16)(p13;q22),Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)
Adult Acute Myeloid Leukemia With T(16;16)(p13;q22),Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)
Adult Nasal Type Extranodal NK/T-cell Lymphoma,Adult Nasal Type Extranodal NK/T-cell Lymphoma
Adult Nasal Type Extranodal NK/T-Cell Lymphoma,Adult Nasal Type Extranodal NK/T-cell Lymphoma
Adult T-Cell Leukemia-Lymphoma,Adult T-Cell Leukemia-Lymphoma
Adult T-Cell Leukemia/Lymphoma,Adult T-Cell Leukemia-Lymphoma
Adult T-cell Leukemia-Lymphoma,Adult T-Cell Leukemia-Lymphoma
Adult T-cell Leukemia-lymphoma,Adult T-Cell Leukemia-Lymphoma
Adult T-cell Leukemia/Lymphoma,Adult T-Cell Leukemia-Lymphoma
Adult-Onset Still's Disease,Adult-Onset Still's Disease
Adult-Onset Still´s Disease,Adult-Onset Still's Disease
Advanced,Advanced
Advan'ce'd,Advanced
Advanced / Metastatic Solid Tumors,Advanced / Metastatic Solid Tumors
Advanced/ Metastatic Solid Tumors,Advanced / Metastatic Solid Tumors
Advanced Metastatic Breast Cancer,Advanced Metastatic Breast Cancer
"Advanced, Metastatic Breast Cancer",Advanced Metastatic Breast Cancer
Advanced Metastatic Castration-Resistant Prostate Cancer,Advanced Metastatic Castration-Resistant Prostate Cancer
Advanced Metastatic Castration-resistant Prostate Cancer,Advanced Metastatic Castration-Resistant Prostate Cancer
Advanced NSCLC,Advanced NSCLC
Advanced Nsclc,Advanced NSCLC
Advanced Non-Small Cell Lung Carcinoma,Advanced Non-Small Cell Lung Carcinoma
Advanced Non-small Cell Lung Carcinoma,Advanced Non-Small Cell Lung Carcinoma
Advanced Non-Small-Cell Lung Cancer,Advanced Non-Small-Cell Lung Cancer
Advanced Non-small-cell Lung Cancer,Advanced Non-Small-Cell Lung Cancer
Advanced Non-Squamous Non-Small Cell Lung Cancer,Advanced Non-Squamous Non-Small Cell Lung Cancer
Advanced Non-squamous Non-small Cell Lung Cancer,Advanced Non-Squamous Non-Small Cell Lung Cancer
Advanced Non-squamous Non-Small-Cell Lung Cancer,Advanced Non-squamous Non-Small-Cell Lung Cancer
Advanced Non-squamous Non-small-cell Lung Cancer,Advanced Non-squamous Non-Small-Cell Lung Cancer
Advanced Or Metastatic Merkel Cell Carcinoma,Advanced Or Metastatic Merkel Cell Carcinoma
Advanced or Metastatic Merkel Cell Carcinoma,Advanced Or Metastatic Merkel Cell Carcinoma
Advanced Squamous Non-Small Cell Lung Cancer,Advanced Squamous Non-Small Cell Lung Cancer
Advanced Squamous Non-small Cell Lung Cancer,Advanced Squamous Non-Small Cell Lung Cancer
Advanced Triple-negative Breast Cancer,Advanced Triple-negative Breast Cancer
Advanced Triple-Negative Breast Cancer,Advanced Triple-negative Breast Cancer
Advanced or Metastatic Solid Tumor Malignancies,Advanced or Metastatic Solid Tumor Malignancies
Advanced Or Metastatic Solid Tumor Malignancies,Advanced or Metastatic Solid Tumor Malignancies
Age Related Macular Degeneration (AMD),Age Related Macular Degeneration (AMD)
Age - Related Macular Degeneration (AMD),Age Related Macular Degeneration (AMD)
Age-Related Macular Degeneration (ARMD),Age-Related Macular Degeneration (ARMD)
Age-related Macular Degeneration (ARMD),Age-Related Macular Degeneration (ARMD)
Age-Related Maculopathies,Age-Related Maculopathies
Age-related Maculopathies,Age-Related Maculopathies
Age-Related Maculopathy,Age-Related Maculopathy
Age-related Maculopathy,Age-Related Maculopathy
Age-related Macular Degeneration (AMD),Age-related Macular Degeneration (AMD)
Age-Related Macular Degeneration (AMD),Age-related Macular Degeneration (AMD)
Alcohol Abuse/Addiction,Alcohol Abuse/Addiction
Alcohol Abuse/addiction,Alcohol Abuse/Addiction
Alcohol-Related Disorders,Alcohol-Related Disorders
Alcohol-related Disorders,Alcohol-Related Disorders
Alcohol-associated Hepatitis,Alcohol-associated Hepatitis
Alcohol-Associated Hepatitis,Alcohol-associated Hepatitis
Alcohol-induced Disorders,Alcohol-induced Disorders
Alcohol-Induced Disorders,Alcohol-induced Disorders
"Alcoholism,","Alcoholism,"
Alcoholism,"Alcoholism,"
Allergic Rhino-Conjunctivitis,Allergic Rhino-Conjunctivitis
Allergic Rhinoconjunctivitis,Allergic Rhino-Conjunctivitis
Alpha-1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency
Alpha1 Anti-Trypsin Deficiency,Alpha-1 Antitrypsin Deficiency
Alpha1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency
Alpha-1 Anti-trypsin Deficiency,Alpha-1 Antitrypsin Deficiency
Alpha-Mannosidosis,Alpha-Mannosidosis
Alpha-mannosidosis,Alpha-Mannosidosis
Alpha1-Proteinase Inhibitor Deficiency,Alpha1-Proteinase Inhibitor Deficiency
Alpha1-proteinase Inhibitor Deficiency,Alpha1-Proteinase Inhibitor Deficiency
Alzheimer's Disease,Alzheimer's Disease
Alzheimer´s Disease,Alzheimer's Disease
Alzheimers Disease,Alzheimer's Disease
"Alzheimer's Disease, Familial","Alzheimer's Disease, Familial"
"Alzheimers Disease, Familial","Alzheimer's Disease, Familial"
Aml,Aml
AML,Aml
Amyloid Beta-Protein,Amyloid Beta-Protein
Amyloid Beta-protein,Amyloid Beta-Protein
Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis (ALS)
Amyotrophic Lateral Sclerosis ALS,Amyotrophic Lateral Sclerosis (ALS)
Amyotrophic Lateral Sclerosis Als,Amyotrophic Lateral Sclerosis (ALS)
Anal Canal Cancer.,Anal Canal Cancer.
Anal Canal Cancer,Anal Canal Cancer.
Analgesia Obstetrical,Analgesia Obstetrical
"Analgesia, Obstetrical",Analgesia Obstetrical
"Analgesia, Patient-Controlled","Analgesia, Patient-Controlled"
"Analgesia, Patient-controlled","Analgesia, Patient-Controlled"
"Analgesia, Postoperative","Analgesia, Postoperative"
Analgesia; Postoperative,"Analgesia, Postoperative"
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic"
"Analgesics, Non-narcotic","Analgesics, Non-Narcotic"
"Anaplastic Large Cell Lymphoma, ALK-negative","Anaplastic Large Cell Lymphoma, ALK-negative"
"Anaplastic Large Cell Lymphoma, ALK-Negative","Anaplastic Large Cell Lymphoma, ALK-negative"
Anatomic Stage IV Breast Cancer (AJCC) v8,Anatomic Stage IV Breast Cancer (AJCC) v8
Anatomic Stage IV Breast Cancer AJCC v8,Anatomic Stage IV Breast Cancer (AJCC) v8
Anemia Postoperative,Anemia Postoperative
"Anemia, Postoperative",Anemia Postoperative
"Anemia, Iron-Deficiency","Anemia, Iron-Deficiency"
"Anemia, Iron-deficiency","Anemia, Iron-Deficiency"
Anesthesia Conduction,Anesthesia Conduction
"Anesthesia, Conduction",Anesthesia Conduction
Anesthesia General,Anesthesia General
"Anesthesia, General",Anesthesia General
"Anesthesia, Local","Anesthesia, Local"
Anesthesia Local,"Anesthesia, Local"
"Anesthesia, Recovery Period","Anesthesia, Recovery Period"
Anesthesia Recovery Period,"Anesthesia, Recovery Period"
"Anesthesia, Regional","Anesthesia, Regional"
Anesthesia; Regional,"Anesthesia, Regional"
Anesthesia; Spinal,Anesthesia; Spinal
"Anesthesia, Spinal",Anesthesia; Spinal
Aneurysm Cerebral,Aneurysm Cerebral
"Aneurysm, Cerebral",Aneurysm Cerebral
"Angina, Stable","Angina, Stable"
Angina (Stable),"Angina, Stable"
"Angina, Unstable","Angina, Unstable"
Angina Unstable,"Angina, Unstable"
Angioimmunoblastic T-Cell Lymphoma,Angioimmunoblastic T-Cell Lymphoma
Angioimmunoblastic T-cell Lymphoma,Angioimmunoblastic T-Cell Lymphoma
Anti-Bacterial Agents,Anti-Bacterial Agents
Anti-bacterial Agents,Anti-Bacterial Agents
Antibacterial Agents,Anti-Bacterial Agents
Anti-Infective Agents,Anti-Infective Agents
Anti-infective Agents,Anti-Infective Agents
Anti-Inflammatory Agents,Anti-Inflammatory Agents
Anti-inflammatory Agents,Anti-Inflammatory Agents
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal"
"Anti-inflammatory Agents, Non-steroidal","Anti-Inflammatory Agents, Non-Steroidal"
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Antineutrophil Cytoplasmic Antibody-associated Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Anti-neutrophil Cytoplasmic Antibody-associated Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Antineutrophil Cytoplasmic Antibody-Associated Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Anti-PD-1 Antibody,Anti-PD-1 Antibody
Anti-pd-1 Antibody,Anti-PD-1 Antibody
Anti-Platelet Therapy,Anti-Platelet Therapy
Antiplatelet Therapy,Anti-Platelet Therapy
Anti-Synthetase Syndrome,Anti-Synthetase Syndrome
Antisynthetase Syndrome,Anti-Synthetase Syndrome
Anti-biotic Resistance,Anti-biotic Resistance
Anti-Biotic Resistance,Anti-biotic Resistance
Antibiotic Resistance,Anti-biotic Resistance
Antibiotic-Associated Diarrhea,Antibiotic-Associated Diarrhea
Antibiotic-associated Diarrhea,Antibiotic-Associated Diarrhea
Arthritis Juvenile Idiopathic,Arthritis Juvenile Idiopathic
"Arthritis, Juvenile Idiopathic",Arthritis Juvenile Idiopathic
